,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
0,1,Casper Mortensen,HSV,Left Wing,32,,234,334,70.06 %,2022/23
1,2,Juri Knorr,RNL,unknown,34,,213,329,64.74 %,2022/23
2,3,Lukas Blohme,GUM,Right Wing,34,,192,268,71.64 %,2022/23
3,4,Kay Smits,SCM,Right Back,34,,190,270,70.37 %,2022/23
4,5,Emil Jakobsen,SGF,Left Wing,34,,168,223,75.34 %,2022/23
5,6,Christoph Steinert,HCE,Right Back,31,,166,249,66.67 %,2022/23
6,7,Hans Lindberg,BER,Right Wing,28,,156,199,78.39 %,2022/23
7,8,Samuel Zehnder,TBV,Left Wing,27,,155,204,75.98 %,2022/23
8,9,Lenny Rubin,WET,Left Back,33,,152,286,53.15 %,2022/23
9,10,Gisli Thorgeir Kristjansson,SCM,Centre Back,31,,152,217,70.05 %,2022/23
10,11,Marcel Schiller,FAG,Left Wing,27,,146,207,70.53 %,2022/23
11,12,Dominik Mappes,GUM,Centre Back,24,,141,228,61.84 %,2022/23
12,13,Julian Köster,GUM,Left Back,34,,140,246,56.91 %,2022/23
13,14,Niels Gerardus Versteijnen,TBV,Right Back,34,,140,253,55.34 %,2022/23
14,15,Patrick Groetzki,RNL,Right Wing,33,,139,182,76.37 %,2022/23
15,16,Johannes Golla,SGF,Pivot,33,,139,182,76.37 %,2022/23
16,17,Mathias Gidsel,BER,Right Back,26,,139,203,68.47 %,2022/23
17,18,Niclas Ekberg,THW,Right Wing,32,,137,181,75.69 %,2022/23
18,19,Fabian Huesmann,ASV,unknown,32,,137,204,67.16 %,2022/23
19,20,Jacob Tandrup Holm,BER,Centre Back,34,,137,226,60.62 %,2022/23
20,21,Mohamed Amine Darmoul,GWD,Centre Back,26,,137,202,67.82 %,2022/23
21,22,Frederik Bo Andersen,HSV,Right Wing,33,,137,177,77.40 %,2022/23
22,23,Dani Baijens,HSV,Centre Back,34,,136,248,54.84 %,2022/23
23,24,Sascha Pfattheicher,TVB,Right Wing,33,,135,192,70.31 %,2022/23
24,25,Viggó Kristjánsson,LEI,Right Back,23,,135,209,64.59 %,2022/23
25,26,Linus Arnesson,BHC,Centre Back,30,,130,207,62.80 %,2022/23
26,27,Lukas Hutecek,TBV,Left Back,34,,127,197,64.47 %,2022/23
27,28,Nikola Bilyk,THW,Left Back,33,,124,199,62.31 %,2022/23
28,29,Adam Lönn,TVB,Left Back,34,,124,228,54.39 %,2022/23
29,30,Jannik Kohlbacher,RNL,Pivot,31,,121,168,72.02 %,2022/23
30,31,Ellidi Snaer Vidarsson,GUM,Pivot,34,,121,177,68.36 %,2022/23
31,32,Frederik Ladefoged,BHC,Pivot,34,,121,163,74.23 %,2022/23
32,33,Josip Sarac,FAG,Left Back,34,,121,205,59.02 %,2022/23
33,34,Philipp Ahouansou,GWD,Left Back,23,,119,223,53.36 %,2022/23
34,35,Kai Häfner,MTM,Right Back,31,,118,200,59.00 %,2022/23
35,36,Lukas Zerbe,TBV,Right Wing,33,,118,162,72.84 %,2022/23
36,37,Simon Jeppsson,HCE,Left Back,33,,118,233,50.64 %,2022/23
37,38,Maximilian Gerbl,HAN,unknown,34,,117,156,75.00 %,2022/23
38,39,Marius Steinhauser,HAN,Right Wing,29,,114,155,73.55 %,2022/23
39,40,Patrick Wiesmach Larsen,LEI,Right Wing,33,,114,159,71.70 %,2022/23
40,41,Harald Reinkind,THW,Right Back,34,,113,206,54.85 %,2022/23
41,42,Savvas Savvas,ASV,Left Back,34,,112,225,49.78 %,2022/23
42,43,Jacob Arenth Lassen,HSV,Right Back,23,,112,199,56.28 %,2022/23
43,44,Agustin Casado,MTM,Centre Back,33,,112,215,52.09 %,2022/23
44,45,Tim Suton,TBV,Centre Back,33,,111,172,64.53 %,2022/23
45,46,Lasse Bredekjaer Andersson,BER,Left Back,28,,111,193,57.51 %,2022/23
46,47,Michael Damgaard,SCM,Left Back,34,,108,192,56.25 %,2022/23
47,48,Luca Witzke,LEI,Centre Back,27,,108,187,57.75 %,2022/23
48,49,Mijajlo Marsenic,BER,Pivot,33,,108,151,71.52 %,2022/23
49,50,Sime Ivic,LEI,Right Back,33,,108,206,52.43 %,2022/23
50,51,Noah Beyer,BHC,Left Wing,30,,107,153,69.93 %,2022/23
51,52,Uwe Gensheimer,RNL,Left Wing,23,,107,164,65.24 %,2022/23
52,53,Johan Hansen,SGF,Right Wing,32,,107,174,61.49 %,2022/23
53,54,Branko Vujovic,HAN,Right Back,31,,105,197,53.30 %,2022/23
54,55,Jan von Boenigk,ASV,Right Back,32,,104,176,59.09 %,2022/23
55,56,Mats Korte,GWD,Left Wing,34,,103,144,71.53 %,2022/23
56,57,David Schmidt,FAG,Right Back,32,,103,191,53.93 %,2022/23
57,58,Aaron Mensing,SGF,Left Back,27,,103,172,59.88 %,2022/23
58,59,Omar Ingi Magnusson,SCM,Right Back,15,,102,141,72.34 %,2022/23
59,60,Tim Hornke,SCM,Right Wing,32,,101,134,75.37 %,2022/23
60,61,Uladzislau Kulesh,HAN,Left Back,31,,101,199,50.75 %,2022/23
61,62,Daniel Fernandez Jimenez,TVB,Left Wing,32,,98,132,74.24 %,2022/23
62,63,Egon Hanusz,TVB,Centre Back,34,,98,155,63.23 %,2022/23
63,64,Christopher Bissel,HCE,Left Wing,33,,97,149,65.10 %,2022/23
64,65,Nico Büdel,HCE,Centre Back,34,,97,147,65.99 %,2022/23
65,66,Magnus Abelvik Rød,SGF,Right Back,31,,97,168,57.74 %,2022/23
66,67,Lukas Stutzke,BHC,Left Back,28,,95,175,54.29 %,2022/23
67,68,Patrick Wiencek,THW,Pivot,34,,94,131,71.76 %,2022/23
68,69,Ilija Brozovic,HAN,Pivot,34,,94,129,72.87 %,2022/23
69,70,Albin Lagergren,RNL,Right Back,32,,94,155,60.65 %,2022/23
70,71,Domen Novak,WET,Right Wing,31,,94,137,68.61 %,2022/23
71,72,Lukas Binder,LEI,Left Wing,33,,92,126,73.02 %,2022/23
72,73,Hampus Olsson,HCE,Right Wing,28,,92,123,74.80 %,2022/23
73,74,Tomas Babak,BHC,Centre Back,31,,91,146,62.33 %,2022/23
74,75,Niklas Weller,HSV,Pivot,33,,91,127,71.65 %,2022/23
75,76,Tomas Urban,GWD,Right Wing,33,,90,164,54.88 %,2022/23
76,77,Eric Johansson,THW,Left Back,23,,89,143,62.24 %,2022/23
77,78,Niclas Kirkeløkke,RNL,Right Back,33,,88,148,59.46 %,2022/23
78,79,Sander Sagosen,THW,Left Back,21,,88,137,64.23 %,2022/23
79,80,Magnus Saugstrup,SCM,Pivot,20,,84,111,75.68 %,2022/23
80,81,Fabian Wiede,BER,Right Back,32,,84,138,60.87 %,2022/23
81,82,Tim Zechel,HCE,Pivot,33,,84,112,75.00 %,2022/23
82,83,Marian Orlowski,ASV,Left Back,29,,83,160,51.88 %,2022/23
83,84,Sebastian Firnhaber,HCE,Pivot,34,,83,113,73.45 %,2022/23
84,85,Andreas Bornemann,ASV,unknown,34,,83,178,46.63 %,2022/23
85,86,Lasse Møller,SGF,Left Back,33,,83,141,58.87 %,2022/23
86,87,Matej Klima,LEI,Left Back,25,,83,137,60.58 %,2022/23
87,88,Tilen Kodrin,GUM,Left Wing,32,,82,120,68.33 %,2022/23
88,89,Tom Jansen,GUM,unknown,33,,80,167,47.90 %,2022/23
89,90,Andre Gomes,MTM,Left Back,34,,80,159,50.31 %,2022/23
